County,District,Clan,Town/Village,Total,Male,Female,Households
Grand Cape Mount,Porkpa,Sokpo,Jiama Village,713,369,344,77
Grand Cape Mount,Porkpa,Sokpo,Kawelahun Town,778,413,365,99
Grand Cape Mount,Porkpa,Sokpo,Kongo A,1327,742,585,180
Grand Cape Mount,Porkpa,Sokpo,Kongo B,1137,665,472,132
Grand Cape Mount,Porkpa,Sokpo,Varney,504,341,163,61
Grand Cape Mount,Tewor,Fahnbulleh D,Tiene,946,460,486,260
Grand Cape Mount,Tewor,Passawe,Bangoma,561,307,254,118
Grand Cape Mount,Tewor,Passawe,Bo,2057,947,1110,481
Grand Cape Mount,Tewor,Passawe,Jenne Wonde,744,356,388,146
Grand Cape Mount,Tewor,Passawe,Mambo Town,611,372,384,110
Grand Cape Mount,Tewor,Passawe,Weilor Town,839,475,464,159
Grand Cape Mount,Tewor,Passawe,Wonde,520,262,258,81
Grand Cape Mount,Tewor,Sambola D,Bobalor,511,237,274,122
Grand Gedeh,B'hai,B'Hai-Nicko,Toe,2842,1362,1480,428
Grand Gedeh,B'hai,Marbo #1,Sennehwen,1135,562,573,168
Grand Gedeh,B'hai,Marbo #1,Sennehwen,1140,532,608,115
Grand Gedeh,B'hai,Tian-Duogee,Duogee,1922,951,971,270
Grand Gedeh,B'hai,Tian-Duogee,Tian,711,375,336,94
Grand Gedeh,Cavala,Blawo,Gwein,530,261,269,91
Grand Gedeh,Cavala,Gborbo,Bartehjan,1454,799,655,276
Grand Gedeh,Cavala,Gborbo,Tuzon,528,289,239,100
Grand Gedeh,Cavala,Gborbo,Zai,1001,587,414,157
Grand Gedeh,Cavala,Gorbo,Dolowelyzon,950,485,465,159
Grand Gedeh,Cavala,Gorbo,Gorbo Jellue,556,266,290,102 
Grand Gedeh,Cavala,Niao,Boway,852,438,414,94
Grand Gedeh,Cavala,Niao,Janzon,2040,1044,996,271
Grand Gedeh,Cavala,Niao,Pohan (New),571,289,282,67
Grand Gedeh,Gbao,Jaladaye,Gaye (A),647,330,317,92
Grand Gedeh,Gbao,Jaladaye,Gaye (B),668,343,325,106
Grand Gedeh,Gbao,Jaladaye,Zleh,4229,2091,2138,494
Grand Gedeh,Gbao,Marbo #2,Polar,950,475,475,186
Grand Gedeh,Gbao,Neezonnie #1,Jarwodee,864,427,437,129
Grand Gedeh,Gbao,Wromel,Pouh Town,519,276,243,94
Grand Gedeh,Gbao,Wromel,Tojallah,607,277,330,85
Grand Gedeh,Gboe-Ploe,Douangboyee/Neezonee,Bodee,872,481,391,105
Grand Gedeh,Gboe-Ploe,Douangboyee/Neezonee,Bodee,1051,562,489,124
Grand Gedeh,Gboe-Ploe,Joezon,Whayee,670,366,304,80
Grand Gedeh,Gboe-Ploe,Neezonnie,Boe-Geewon,793,386,407,103
Grand Gedeh,Glio-Twarbo,Chattan,Clotetee,522,297,225,44
Grand Gedeh,Glio-Twarbo,Chattan,Garleo,724,364,360,70
Grand Gedeh,Glio-Twarbo,Chattan,Tempo,726,364,362,73
Grand Gedeh,Glio-Twarbo,Dugbehbo,Billibo,1249,659,590,119
Grand Gedeh,Glio-Twarbo,Gboawon,Bao,669,347,322,2
Grand Gedeh,Glio-Twarbo,Gboawon,Tarloken,1181,545,636,96
Grand Gedeh,Glio-Twarbo,Nenebo,Buway,1200,681,519,89
Grand Gedeh,Glio-Twarbo,Nenebo,Sayu-O,995,553,442,62
Grand Gedeh,Konobo,Lower Gbardru,Druwar,633,377,256,65
Grand Gedeh,Konobo,Lower Gbardru,Peah,1750,902,848,141
Grand Gedeh,Konobo,Lower Gbillibo,Banglorh,747,353,394,77
Grand Gedeh,Konobo,Lower Gbillibo,Glay,658,398,260,64
Grand Gedeh,Konobo,Lower Gbillibo,Headquarter (CVI),655,426,229,106
Grand Gedeh,Konobo,Lower Gbillibo,New Creek (CVI),1182,769,413,146
Grand Gedeh,Konobo,Upper Gbardru,Sayou-Woe,1155,586,569,106
Grand Gedeh,Konobo,Upper Gbillibo,Boundary Town Two,1129,703,426,148
Grand Gedeh,Konobo,Upper Gbillibo,Dweh,690,351,339,76
Grand Gedeh,Konobo,Upper Gbillibo,Tuglor,582,321,261,54
Grand Gedeh,Konobo,Upper Gbillibo,Ziah Town,805,452,353,88
Grand Gedeh,Konobo,Upper Gbillibo,Ziah Town,9253,4679,4574,1021
Grand Gedeh,Putu,Bio Wiah,Geebio,1033,555,478,133
Grand Gedeh,Putu,Bio Wiah,Tweh,790,448,342,91
Grand Gedeh,Putu,Lower Jebebo,Duo,1825,1084,741,197
Grand Gedeh,Putu,Lower Jebebo,John Davis,728,393,335,71
Grand Gedeh,Putu,Lower Jebebo,Karlorwieh,1422,830,592,170
Grand Gedeh,Putu,Lower Jebebo,Panrow,1071,623,448,76
Grand Gedeh,Putu,Upper Jebebo,Pennoken,1696,864,832,198
Grand Gedeh,Putu,Upper Jebebo,Petroken,804,445,359,81
Grand Gedeh,Putu,Upper Jebebo,Petroken,1240,642,598,136
Grand Gedeh,Putu,Zeenonblogbo,Jarwadee,1351,701,650,159
Grand Gedeh,Putu,Zeenonblogbo,Jarwadee,1379,747,632,146
Grand Gedeh,Tchien,Tchien Menyea,Gboleken,845,402,443,116
Grand Gedeh,Tchien,Tchien Menyea/Zwe #2,Zwedru,25349,12564,12785,4982
Grand Kru,Barclayville,Gballakpo,"Henriesville City,Fil",1522,734,798,177
Grand Kru,Barclayville,Klipo,Solokpo,568,279,289,74
Grand Kru,Barclayville,Kpoh,Picnicess City,857,403,454,115
Grand Kru,Barclayville,Topoc-Suchn,Big Suehn A,571,287,284,74
Grand Kru,Barclayville,Wakpeken Seator,Barclayville,3699,1877,1822,604
Grand Kru,Barclayville,Wakpeken Seator,Fleneken,742,367,375,90
Grand Kru,Bleebo,Karwalaken,Blebo A,673,339,334,97
Grand Kru,Bolloh,Karlakpo,Barwonkpo New Town,998,554,444,142
Grand Kru,Bolloh,Warsweh,Warkpo(Wasswa City),919,498,421,142
Grand Kru,Dorbor,Chanbeti,Doewen,573,314,259,88
Grand Kru,Dweh,Saywoken,Allawala City,805,397,408,191
Grand Kru,Felo-Jekwi,Felor,Felokree/Sasstown,788,367,421,142
Grand Kru,Felo-Jekwi,Jekwi,Jekwikpo/Sasstown,784,386,398,148
Grand Kru,Fenetoe,Barmeneh,Barforwin,714,354,360,96
Grand Kru,Fenetoe,Barmeneh,Nyankunkpo,568,306,262,81
Grand Kru,Garraway,Genoyah,Genoyah City II,697,366,331,113
Grand Kru,Garraway,Lower Garrway,Garaway,2348,1211,1137,289
Grand Kru,Garraway,Po-River Big Town,Po-River Big,542,256,286,93
Grand Kru,Garraway,Upper Garraway,Sowken (farming Comm.,1096,609,487,236
Grand Kru,Garraway,Upper Garraway,Weteken,550,282,268,95
Grand Kru,Garraway,Upper Nimiah,Daplorken,922,509,413,117
Grand Kru,Garraway,Upper Nimiah,Nemiah (Wilsonville C,607,324,283,90
Grand Kru,Gee,Gissaken,Woloken #1,590,285,305,95
Grand Kru,Gee,Tarken,Chenwrinken,525,248,277,98
Grand Kru,Gee,Tarken,Wropluken,823,413,410,108
Grand Kru,Grand Cess Wedabo,Gbanken,Gbarken(Wedabo),1098,562,533,129
Grand Kru,Grand Cess Wedabo,Gbanken,Juduken,1813,907,906,250
Grand Kru,Grand Cess Wedabo,Grand Cess,Grandcess City,1708,823,885,237
Grand Kru,Grand Cess Wedabo,New Cess,Newcess,802,444,358,82
Grand Kru,Grand Cess Wedabo,Zoloken,Beloken,1330,636,694,215
Grand Kru,Grand Cess Wedabo,Zoloken,Deneken,538,288,250,96
Grand Kru,Grand Cess Wedabo,Zoloken,Elizabeth Collinsvill,923,499,424,94
Grand Kru,Grand Cess Wedabo,Zoloken,Zoloken & Gbarken,708,371,337,84
Grand Kru,Kpi,Dartuken,Jlateken (Tarlu City),537,293,244,77
Grand Kru,Trenbo,Behwan,Behwan City,1297,655,642,215
Grand Kru,Trenbo,Dougbo,Dougbo City,764,394,370,99
Grand Kru,Trenbo,Newaken,Newaken(Wortaken City,651,338,313,108
Grand Kru,Upper Jloh,Niforh,Nifu,865,423,452,148
Lofa,Foya,Luankollie,Chengeonin,532,287,245,63
Lofa,Foya,Luankollie,Foya Town,20569,10287,10282,3252
Lofa,Foya,Luankollie,Gelema,501,243,258,75
Lofa,Foya,Luankollie,Kondobengu,789,364,425,93
Lofa,Foya,Luankollie,Kornduma,603,312,291,95
Lofa,Foya,Luankollie,Mambo,1313,728,585,143
Lofa,Foya,Luankollie,Sadu Passia,589,292,297,91
Lofa,Foya,Luankollie,Shelloe,547,284,263,78
Lofa,Foya,Luankollie,Yegbedu,582,272,310,83
Lofa,Foya,Tengia,Foya Tengia,533,255,278,97
Lofa,Foya,Tengia,Kornorsue Tengia,596,291,305,95
Lofa,Foya,Tengia,Langbemba,734,326,408,99
Lofa,Foya,Tengia,Mendicorma,552,248,304,113
Lofa,Foya,Tengia,Worsongar,726,360,366,93
Lofa,Foya,Waum,Kolochoe,567,285,282,75
Lofa,Foya,Waum,Porluma,520,227,293,67
Lofa,Foya,Waum,Pundandu,618,316,302,77
Lofa,Foya,Waum,Solumba (A),556,274,282,94
Lofa,Foya,Waum,Solumba (B),581,271,310,94
Lofa,Kolahun,Hassala,Cehema,518,288,230,100
Lofa,Kolahun,Hassala,Dangalahun,870,436,434,108
Lofa,Kolahun,Hassala,Gombu,562,250,312,89
Lofa,Kolahun,Hassala,Kamatahun (B),666,274,392,175
Lofa,Kolahun,Hassala,Kiatiahun,675,293,382,163
Lofa,Kolahun,Hassala,Kimbalahun I,585,293,292,135
Lofa,Kolahun,Hassala,Popalahun,1334,629,705,201
Lofa,Kolahun,Hassala,Yallahun,631,306,325,127
Lofa,Kolahun,Hassala,Yengama,590,276,314,117
Lofa,Kolahun,Hembeh,Gelema,667,302,365,94
Lofa,Kolahun,Hembeh,Gondorlahun,698,373,325,130
Lofa,Kolahun,Hembeh,Pasolahun,671,288,383,110
Lofa,Kolahun,Hembeh,Yasselahun,568,273,295,72
Lofa,Kolahun,Lukasu,Boawohun,729,332,397,131
Lofa,Kolahun,Lukasu,Gbelahun,1571,729,842,306
Lofa,Kolahun,Lukasu,Hangala,546,201,345,85
Lofa,Kolahun,Lukasu,Kailahun(B),725,334,391,152
Lofa,Kolahun,Lukasu,Kpengbelahun,560,281,279,102
Lofa,Kolahun,Lukasu,Lukasu,959,421,538,135
Lofa,Kolahun,Lukasu,Mawayasu,579,272,307,108
Lofa,Kolahun,Lukasu,Village 1,528,822,290,132
Lofa,Kolahun,Tahamba,Fassawolo,689,321,368,125
Lofa,Kolahun,Tahamba,Kamatahum,625,286,339,134
Lofa,Kolahun,Tahamba,Kolahun,7171,3468,3703,1476
Lofa,Kolahun,Tahamba,Ndambu,595,261,334,124
Lofa,Kolahun,Tahamba,Nyewolihun,813,375,438,169
Lofa,Kolahun,Tahamba,Savalahun,607,309,298,142
Lofa,Kolahun,Wanwoma,Bolahun Town,764,373,391,139
Lofa,Kolahun,Wanwoma,Bolahun Town (B),595,288,307,104
Lofa,Kolahun,Wanwoma,Fangonda Town,1147,638,509,131
Lofa,Kolahun,Wanwoma,Lehuma Town,1343,565,778,234
Lofa,Kolahun,Wanwoma,Masambolahun,7144,3427,3717,732
Lofa,Kolahun,Wanwoma,Porlowu Town,1647,782,865,182
Lofa,Kolahun,Wanwoma,Sosmoilahun Town,1054,486,568,173
Lofa,Kolahun,Wolukoha,Nyandemoilahun Town Center,814,388,426,120
Lofa,Quardu Boundi,Quardu,Barkedu,4354,2060,2294,591
Lofa,Quardu Boundi,Quardu,Bongolodu(A),654,313,341,65
Lofa,Quardu Boundi,Quardu,Bongolodu(B),789,365,424,83
Lofa,Quardu Boundi,Quardu,Bulor,688,305,383,146
Lofa,Quardu Boundi,Quardu,Gbegbedu,507,230,277,59
Lofa,Quardu Boundi,Quardu,Jarmulor,747,326,421,117
Lofa,Quardu Boundi,Quardu,Kulukar,905,416,489,139
Lofa,Quardu Boundi,Quardu,Lukamai,577,314,263,95
Lofa,Quardu Boundi,Quardu,Mamekonnedu,567,260,307,103
Lofa,Quardu Boundi,Quardu,Marverkonnedu,690,303,387,124
Lofa,Quardu Boundi,Quardu,Nyama Kamadu,723,355,368,93
Lofa,Quardu Boundi,Quardu,Samodu,869,391,478,118
Lofa,Quardu Boundi,Quardu,Sarkonedu,776,375,401,130
Lofa,Quardu Boundi,Quardu,Sarkonedu,819,383,436,121
Lofa,Quardu Boundi,Quardu,Tussus,715,336,379,110
Lofa,Quardu Boundi,Quardu,Tussus,872,403,469,140
Lofa,Salayea,Gbarlin,Gboyea,1036,511,525,186
Lofa,Salayea,Gbarlin,Gorlu,722,341,381,143
Lofa,Salayea,Gbarlin,Gorlu,733,348,385,156
Lofa,Salayea,Gbarlin,Gorlu,944,470,474,176
Lofa,Salayea,Palama,Beyan,1122,547,575,236
